pan,tilt,x_carr,y_carr
-29.0270996094,-30.9449005127,1,4
-32.9649009705,-30.0450000763,2,4
-36.0026016235,-29.0326004028,3,4
-39.0404014587,-28.0202007294,4,4
-41.9655990601,-27.007900238,5,4
-45.0032997131,-25.9955005646,6,4
-47.0284996033,-24.9831008911,7,4
-49.0536003113,-23.9708003998,8,4
-50.9662017822,-22.9584007263,9,4
-52.9914016724,-21.9459991455,10,4
-32.9649009705,-33.9819984436,1,6
-38.0278015137,-32.9696006775,2,6
-40.952999115,-31.9573001862,3,6
-45.0032997131,-30.0450000763,4,6
-47.0284996033,-29.0326004028,5,6
-49.9537010193,-28.0202007294,6,6
-50.9662017822,-30.0450000763,5,7
-48.0410003662,-31.9573001862,4,7
-45.0032997131,-33.9819984436,3,7
-40.952999115,-34.9944000244,2,7
-36.0026016235,-37.0191001892,1,7
-40.952999115,-40.0561981201,1,8
-46.0158996582,-41.96849823,1,9
-50.9662017822,-43.9933013916,1,10
-56.0290985107,-40.9561004639,2,10
-58.9542999268,-39.0438995361,3,10
-61.992099762,-37.0191001892,4,10
-64.0171966553,-33.9819984436,5,10
-59.9668998718,-32.9696006775,5,9
-55.0164985657,-31.9573001862,5,8
-50.9662017822,-30.0450000763,5,7
-48.0410003662,-29.0326004028,5,6
-45.0032997131,-28.0202007294,5,5
-41.9655990601,-27.007900238,5,4
-40.052898407,-25.9955005646,5,3
-37.0152015686,-24.9831008911,5,2
-34.9901008606,-23.9708003998,5,1
-32.9649009705,-21.9459991455,5,0
-30.0396995544,-22.9584007263,4,0
-27.0020008087,-23.9708003998,3,0
-23.9643001556,-23.9708003998,2,0
-21.0389995575,-24.9831008911,1,0
-18.0013008118,-24.9831008911,0,0
-66.0423965454,-27.007900238,8,9
-36.0026016235,-21.9459991455,6,0
-38.0278015137,-21.0461006165,7,0
-40.952999115,-21.0461006165,8,0
-42.9781990051,-20.033700943,9,0
-45.0032997131,-20.033700943,10,0
-47.0284996033,-19.1338996887,10,1
-49.0536003113,-21.0461006165,10,2
-50.9662017822,-21.0461006165,10,3
-54.0040016174,-21.9459991455,10,4
-56.0290985107,-22.9584007263,10,5
-58.9542999268,-22.9584007263,10,6
-61.992099762,-23.9708003998,10,7
-65.029800415,-24.9831008911,10,8
-67.9550018311,-24.9831008911,10,9
-70.9926986694,-25.9955005646,10,10
-75.0429992676,-25.9955005646,10,11
-74.0304031372,-28.0202007294,9,11
-73.0178985596,-29.0326004028,8,11
-67.9550018311,-28.0202007294,8,10
-67.054901123,-30.0450000763,7,10
-65.029800415,-31.9573001862,6,10
-63.0046005249,-33.9819984436,6,10
-60.9794998169,-36.0066986084,5,10
-58.9542999268,-39.0438995361,4,10
-58.9542999268,-39.0438995361,3,10
